Country,year,Country_code,GDPcap,advecon,Banking,Currency,Debt,IMF,LLevels1,LLevels2,LLevels3,LLevels4,LLevels5,FLevels1,FLevels2,FLevels3,FLevels4,FLevels5,FLevels6,ID,Diff1,SqError
Mongolia,2008,MNG,6658.4502,0,1.0,0.0,0.0,1,6585.0952,5981.5088,4946.9404,4212.208,3574.6257,6253.5835,7306.188,8670.3789,9837.1162,10608.524,11491.399,95,-580.4947819325735,244524.70463983406
Mauritania,1984,MRT,2011.9503,0,1.0,0.0,0.0,1,2098.8018,2113.2395,2352.5337,2348.1458,2435.2974,2025.0496,2043.8638,2034.222,2041.4501,2061.0925,1964.411,97,-91.6751040320271,20900.105503569466
Malawi,1982,MWI,1227.6522,0,0.0,0.0,1.0,1,1195.0414,1159.5221,1157.6519,1255.63,1260.0487,1283.2806,1355.437,1441.0569,1271.3817,1138.4517,1011.3979,98,48.61596034145441,2168.7635706726437
Malawi,1994,MWI,1060.0956,0,0.0,1.0,0.0,1,974.22809,907.96466,1020.5237,962.94739,1025.6941,1059.3706,1033.808,1108.3749,925.66644,894.02765,859.16302,99,-30.586557934277835,3214.4533740274333
Niger,1994,NER,729.95093,0,0.0,1.0,0.0,1,741.2923,773.15881,803.8877,826.00781,817.23474,753.48212,734.42493,713.57721,762.85327,740.00452,690.33307,101,45.82282597015876,677.5339611456448
Nigeria,1991,NGA,696.72021,0,1.0,0.0,0.0,1,844.13953,917.46045,952.85999,1093.974,1443.2323,584.70398,492.00861,443.65039,415.47772,414.51825,437.38257,103,-335.37147293646956,133149.5449387526
Nicaragua,1990,NIC,2949.5608,0,1.0,1.0,0.0,1,2900.8079,3131.3342,4590.8452,4434.5381,4757.5,2981.7471,2907.2124,2861.1318,2935.0283,3068.7556,3121.6365,105,-791.3799697357836,911157.2708758685
Nepal,1984,NPL,826.21112,0,0.0,1.0,0.0,1,780.87085,802.62006,765.99811,716.93878,788.5166,856.87299,879.1424,882.30475,933.58014,984.19836,986.63342,106,41.543350733576176,4710.07471712794
Nepal,1992,NPL,1035.0913,0,0.0,1.0,0.0,1,1037.7991,986.63342,984.19836,933.58014,882.30475,1093.7704,1209.6732,1228.3341,1302.8368,1266.7596,1251.101,107,13.151559875708472,3140.540131192801
Pakistan,1972,PAK,1796.6755,0,0.0,1.0,0.0,1,1792.1829,1801.214,1690.243,1605.9606,1558.5747,1844.2234,1837.127,1811.4055,1875.0953,1878.5618,1940.7617,108,-78.63700942815854,1200.544671667768
Panama,1983,PAN,6513.4951,0,0.0,0.0,1.0,1,6454.0991,6490.8154,6244.4072,5644.0469,5702.1846,6353.9375,6382.7153,6716.876,6952.0254,6123.3037,5971.4346,109,-6.959965848761385,21649.69421349446
Peru,1976,PER,3974.095,0,0.0,1.0,0.0,1,4003.6631,4108.9922,3911.6729,3637.0215,3666.5396,3873.4473,3727.0662,3989.5833,4071.5256,4133.4541,4069.0759,110,-294.9533306353351,3292.8814631395453
Peru,1978,PER,3727.0662,0,0.0,0.0,1.0,1,3873.4473,3974.095,4003.6631,4108.9922,3911.6729,3989.5833,4071.5256,4133.4541,4069.0759,3702.9543,3856.5044,111,318.33884821525226,4071.2614708998904
Peru,1981,PER,4133.4541,0,0.0,1.0,0.0,1,4071.5256,3989.5833,3727.0662,3873.4473,3974.095,4069.0759,3702.9543,3856.5044,3881.1907,4152.5796,4573.6685,112,-41.912453308254044,3392.4910153309106
Peru,1983,PER,3702.9543,0,1.0,0.0,0.0,1,4069.0759,4133.4541,4071.5256,3989.5833,3727.0662,3856.5044,3881.1907,4152.5796,4573.6685,4242.4507,3481.103,113,-18.835435408555895,22912.77939599161
Poland,1992,POL,8191.9917,0,1.0,0.0,0.0,1,7676.0449,8113.9009,9068.5801,8591.2129,8055.7373,8819.7236,9534.2461,10493.753,11295.469,11925.549,12530.168,115,769.1769539155148,949354.3511107813
Portugal,1983,PRT,9659.0635,1,0.0,1.0,0.0,1,9855.958,9814.4424,10137.313,10001.941,9707.0605,9298.7744,9609.04,10640.512,11483.734,12532.272,13444.414,116,-687.266843765894,4761.300521665539
Paraguay,2002,PRY,4621.7324,0,0.0,1.0,0.0,1,3648.4099,3577.8848,3860.9333,4057.3804,4063.5322,4836.6021,4904.1836,4820.9834,5007.1567,5424.77,5809.6899,117,-81.1940181153268,16843.49234955105
Romania,1996,ROU,7750.2192,0,0.0,1.0,0.0,1,7471.8696,7078.4243,6538.9536,6159.1138,6692.25,7431.8091,7350.2847,7441.0718,7566.2134,8121.231,8540.9512,118,-204.6740615668523,381030.25178104814
Romania,1998,ROU,7350.2847,0,1.0,0.0,0.0,1,7431.8091,7750.2192,7471.8696,7078.4243,6538.9536,7441.0718,7566.2134,8121.231,8540.9512,8970.334,10050.756,119,124.0115392587386,135445.68181642017
