Country,year,Country_code,CAB,Infl,EXDEBT,rgdpe,pop,Gshare,GDPRank,advecon,Banking,Currency,Debt,Region,AmountAgreedPercentGDP,WGI,conditions,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6,FGrowth7,IMF
Costa Rica,1994,CRI,-2.239130871251179,13.5342450979727,38.41003003673323,29513.703,3.4256899,.13153258,.79606104,0,1,0,0,Island,.68515253,.31522611,28,4.4872694,7.0875139,9.1965647,2.2623341,3.5520952,5.665771,4.1214938,1.2378186,5.5649419,6.9616966,3.9433544,3.8331697,3.4904695,1
Cyprus,2013,CYP,-4.953484171344571,,,25595.252,.86193001,.15363936,1.4907089,1,0,0,1,Europe,5.6219611,1.2430011,88,-5.7992363,-2.8781009,.4036392,1.3352457,-2.0152416,3.6468837,-1.3114645,1.9621841,4.8118982,4.2315888,,,,1
Czech Republic,1996,CZE,-6.161836015615029,8.758774728781111,,215567.64,10.35057,.29549471,1.7946049,1,1,0,0,Rich,,.90648639,0,4.2228112,6.2214041,2.9093149,.061907407,-.50654793,-11.614944,-.5946579,-.32871586,1.4328411,4.2667384,2.9087698,1.6524907,3.6029928,0
Germany,2008,DEU,5.683944930729473,2.62838174873985,,3244136,81.130943,.15829328,2.144978,1,1,0,0,Rich,,1.6408876,0,1.0823171,3.2605288,3.7001626,.70671451,1.1699675,-.70990711,-5.6188564,4.0799341,3.6599948,.49199292,.48958421,2.1780701,1.7389677,0
Djibouti,1991,DJI,22.07293315697691,,,1344.8816,.60684401,.47759971,.21153556,0,1,0,0,Africa,,-.90428275,0,-3.1466701,5.8357244,-2.6000011,1.1991141,.49478528,-1.1890213,5.8628201,4.8391256,-2.4230211,5.6015439,-5.0909472,4.603765,-.18522677,0
Dominica,2002,DMA,-14.21233022130283,.170055330197674,81.62929208064915,579.92084,.069824003,.30102229,.61335593,0,0,0,1,Island,1.2746494,.36931258,82,-2.0374675,.33892152,.63657129,.6406495,3.1606605,2.4943719,7.6645784,2.6363361,-.32313707,4.5689359,5.9581532,7.8174973,-1.1278807,1
Denmark,2008,DNK,2.946877469344384,3.41626794258375,,234917.56,5.4977951,.21523963,2.2921195,1,1,0,0,Rich,,2.0422227,0,-.51202393,.90925354,3.912977,2.3366652,2.668195,.39007539,-4.9065285,1.8709981,1.336774,.22646771,.93334985,1.6193734,2.3426199,0
Dominican Republic,1982,DOM,-5.353557345719332,7.6462430660615,33.69978322287773,28085.854,6.0788202,.14272949,.45840031,0,0,0,1,Island,4.3041158,-.48796615,66,1.6997029,4.2788496,7.9726796,4.5275869,2.1446662,4.9776926,4.6279488,1.2528955,-2.1225438,3.5220015,10.117365,2.1559615,4.4005351,1
Dominican Republic,1985,DOM,-2.132976856156619,45.3361755532178,75.6211025755662,28939.264,6.4888558,.11962099,.45281014,0,0,1,0,Island,1.5799844,-.48796615,42,-2.1225438,1.2528955,4.6279488,1.6997029,4.2788496,7.9726796,3.5220015,10.117365,2.1559615,4.4005351,-5.001895,.7670179,10.513099,1
Dominican Republic,1990,DOM,-3.95268341371983,50.4624792378524,66.35177327487625,32279.195,7.1836472,.09829583,.41991922,0,0,1,0,Island,.55151552,-.48796615,42,-5.001895,4.4005351,2.1559615,10.117365,3.5220015,-2.1225438,.7670179,10.513099,7.2227044,2.3031838,5.4937677,7.1313019,8.0042782,1
